espece,abondance,parcelle,lon,lat
sp_Alauda_arvensis,3,P02,-1.9317,33.5243
sp_Buteo_buteo,3,P04,-2.5525,34.0823
sp_Vulpes_vulpes,3,P01,-1.0354,35.7177
sp_Miliaria_calandra,5,P06,-4.2227,35.3098
sp_Bombus_terrestris,7,P01,-3.8838,34.6699
sp_Bombus_terrestris,4,P10,-3.7727,33.7669
sp_Papilio_machaon,8,P06,-3.4038,33.9062
sp_Gryllus_campestris,5,P01,-1.738,35.1959
sp_Miliaria_calandra,7,P06,-4.4389,35.5535
sp_Lepus_europaeus,9,P10,-2.008,35.0143
sp_Papilio_machaon,6,P08,-3.6761,35.4286
sp_Buteo_buteo,8,P02,-2.7917,35.3
sp_Gryllus_campestris,8,P02,-2.6536,33.4491
sp_Bombus_terrestris,8,P04,-3.8222,34.2718
sp_Bombus_terrestris,3,P03,-3.1932,33.459
sp_Bombus_terrestris,4,P04,-3.6414,33.7057
sp_Alauda_arvensis,3,P07,-5.1889,35.6078
sp_Apis_mellifera,4,P01,-3.5328,34.4187
sp_Vanessa_atalanta,3,P06,-5.0617,34.6061
sp_Perdix_perdix,8,P03,-3.6774,33.5353
sp_Miliaria_calandra,3,P10,-2.8319,33.9368
sp_Bombus_terrestris,4,P07,-2.8926,33.6907
sp_Perdix_perdix,3,P10,-2.5182,33.6186
sp_Alauda_arvensis,5,P02,-5.0713,34.9139
sp_Vanessa_atalanta,7,P02,-2.5654,33.7707
sp_Carabus_auratus,2,P04,-4.0953,34.896
sp_Bombus_terrestris,2,P01,-3.7043,33.1754
sp_Apis_mellifera,4,P03,-1.6391,33.4253
sp_Miliaria_calandra,4,P09,-5.4594,33.8236
sp_Papilio_machaon,5,P07,-2.8521,34.7911
sp_Miliaria_calandra,6,P07,-2.8058,35.0275
sp_Bombus_terrestris,3,P04,-3.715,34.3282
sp_Papilio_machaon,9,P02,-4.4334,34.3374
sp_Buteo_buteo,4,P04,-4.444,35.1736
sp_Buteo_buteo,2,P06,-1.5233,33.0475
sp_Carabus_auratus,3,P03,-3.5109,34.0233
sp_Alauda_arvensis,3,P01,-4.011,35.4561
sp_Papilio_machaon,5,P08,-3.4805,34.8097
sp_Lepus_europaeus,7,P05,-2.4877,34.0117
sp_Vanessa_atalanta,8,P05,-4.8441,35.7166
sp_Bombus_terrestris,7,P04,-3.4775,35.3179
sp_Apis_mellifera,3,P06,-2.8545,33.7947
sp_Papilio_machaon,6,P03,-1.2314,34.9359
sp_Luscinia_megarhynchos,6,P09,-4.3636,34.7873
sp_Perdix_perdix,5,P05,-3.8834,34.2036
sp_Lepus_europaeus,5,P03,-3.7929,34.1009
sp_Alauda_arvensis,4,P01,-2.7751,34.0307
sp_Apis_mellifera,3,P10,-3.8947,34.8515
sp_Apis_mellifera,4,P06,-3.0992,34.3272
sp_Bombus_terrestris,9,P02,-1.9819,35.4956
sp_Buteo_buteo,6,P03,-2.3258,35.0088
sp_Carabus_auratus,1,P01,-3.4913,33.2098
sp_Buteo_buteo,3,P09,-1.611,34.9205
sp_Luscinia_megarhynchos,6,P08,-2.9884,33.8134
sp_Miliaria_calandra,5,P02,-3.0704,34.7784
sp_Luscinia_megarhynchos,6,P08,-5.3462,35.0404
sp_Papilio_machaon,10,P09,-1.0599,33.6925
sp_Bombus_terrestris,7,P01,-4.9466,34.3706
sp_Papilio_machaon,4,P05,-4.4599,33.571
sp_Alauda_arvensis,8,P08,-5.2674,33.157
sp_Alauda_arvensis,9,P02,-2.62,34.1354
sp_Perdix_perdix,2,P04,-4.4888,34.0888
sp_Gryllus_campestris,9,P07,-4.69,35.9864
sp_Alauda_arvensis,3,P03,-5.1015,34.3391
sp_Perdix_perdix,11,P05,-5.0351,34.0007
sp_Apis_mellifera,7,P08,-2.869,34.7414
sp_Bombus_terrestris,9,P10,-2.4031,33.2663
sp_Carabus_auratus,2,P03,-3.7118,35.885
sp_Papilio_machaon,5,P04,-3.3405,34.9049
sp_Falco_tinnunculus,1,P09,-2.4131,35.2645
sp_Carabus_auratus,6,P07,-5.4218,33.5114
sp_Bombus_terrestris,7,P01,-4.0459,34.2284
sp_Papilio_machaon,7,P04,-1.1211,34.2681
sp_Carabus_auratus,3,P04,-2.8895,35.4654
sp_Lepus_europaeus,2,P09,-4.356,33.0037
sp_Vulpes_vulpes,3,P06,-3.1522,33.9026
sp_Carabus_auratus,5,P09,-3.9581,35.9437
sp_Papilio_machaon,3,P06,-3.1049,34.4247
sp_Alauda_arvensis,3,P06,-4.9342,34.1476
sp_Papilio_machaon,2,P05,-4.9028,33.3595
sp_Gryllus_campestris,4,P05,-4.8541,35.9225
sp_Ciconia_ciconia,4,P02,-1.2708,33.0601
sp_Alauda_arvensis,4,P08,-2.202,35.2115
sp_Papilio_machaon,5,P08,-4.7693,35.3058
sp_Alauda_arvensis,6,P01,-4.6524,33.731
sp_Alauda_arvensis,2,P08,-2.2113,35.0147
sp_Vulpes_vulpes,6,P05,-4.7973,33.2788
sp_Ciconia_ciconia,4,P02,-4.4445,33.7711
sp_Luscinia_megarhynchos,2,P02,-1.1649,35.3637
sp_Apis_mellifera,3,P06,-4.3511,35.5941
sp_Papilio_machaon,6,P09,-2.5227,34.8255
sp_Vulpes_vulpes,5,P01,-1.0962,34.5205
sp_Carabus_auratus,5,P06,-3.8157,33.4779
sp_Miliaria_calandra,4,P09,-5.4212,33.1893
sp_Carabus_auratus,3,P08,-4.4013,33.3529
sp_Apis_mellifera,3,P06,-1.7611,33.6821
sp_Apis_mellifera,4,P03,-1.6093,34.025
sp_Vanessa_atalanta,7,P08,-2.0417,34.1427
sp_Papilio_machaon,6,P09,-4.991,34.039
sp_Papilio_machaon,5,P01,-1.9202,33.7172
sp_Papilio_machaon,3,P09,-1.3659,34.5292
sp_Ciconia_ciconia,4,P06,-2.7973,35.4759
sp_Alauda_arvensis,3,P06,-1.2661,33.8391
sp_Apis_mellifera,2,P04,-1.7792,35.8272
sp_Luscinia_megarhynchos,8,P01,-2.4986,35.62
sp_Perdix_perdix,6,P10,-2.9027,33.4853
sp_Vanessa_atalanta,4,P08,-3.9314,35.3588
sp_Carabus_auratus,6,P02,-4.7832,34.7238
sp_Perdix_perdix,4,P01,-2.7777,34.6997
sp_Papilio_machaon,7,P02,-4.0685,34.1731
sp_Perdix_perdix,5,P01,-1.601,34.5035
sp_Bombus_terrestris,6,P01,-1.03,34.1915
sp_Luscinia_megarhynchos,6,P09,-2.1141,34.6192
sp_Carabus_auratus,5,P01,-5.0928,34.8839
sp_Ciconia_ciconia,3,P04,-4.2009,35.0229
sp_Gryllus_campestris,6,P10,-5.009,34.5974
sp_Carabus_auratus,5,P06,-2.5727,35.1643
sp_Bombus_terrestris,7,P07,-2.0566,33.4238
sp_Luscinia_megarhynchos,5,P02,-1.3345,33.6359
sp_Apis_mellifera,6,P06,-3.5282,35.4562
sp_Carabus_auratus,1,P07,-1.4438,33.9676
sp_Luscinia_megarhynchos,9,P10,-1.5495,33.0687
sp_Alauda_arvensis,6,P10,-4.0726,33.4614
sp_Papilio_machaon,8,P02,-1.5899,33.6708
sp_Perdix_perdix,3,P02,-3.8095,35.872
sp_Vanessa_atalanta,1,P10,-4.1641,34.7191
sp_Carabus_auratus,6,P07,-2.5792,35.7982
sp_Gryllus_campestris,5,P01,-4.0223,34.7255
sp_Papilio_machaon,5,P08,-2.6641,34.4381
sp_Apis_mellifera,3,P03,-2.7558,33.9412
sp_Vanessa_atalanta,4,P06,-2.9645,34.8191
sp_Perdix_perdix,4,P09,-3.7881,33.4176
sp_Papilio_machaon,4,P06,-3.0318,35.6948
sp_Alauda_arvensis,4,P09,-2.8158,35.488
sp_Buteo_buteo,3,P07,-3.0444,33.9526
sp_Alauda_arvensis,6,P09,-3.5001,35.8584
sp_Apis_mellifera,5,P02,-5.434,35.4756
sp_Lepus_europaeus,4,P08,-2.8582,34.9989
sp_Alauda_arvensis,4,P08,-4.742,33.3653
sp_Falco_tinnunculus,4,P02,-2.6084,34.4347
sp_Buteo_buteo,3,P04,-2.083,34.5183
sp_Perdix_perdix,3,P07,-3.248,33.6977
sp_Apis_mellifera,7,P04,-3.0594,33.2399
sp_Alauda_arvensis,3,P04,-1.2183,35.3302
sp_Perdix_perdix,2,P06,-1.6877,33.3661
sp_Papilio_machaon,2,P10,-1.3859,34.7829
sp_Miliaria_calandra,6,P06,-1.8381,35.8093
sp_Apis_mellifera,5,P10,-5.0099,35.6283
sp_Papilio_machaon,6,P03,-4.8295,33.8333
sp_Perdix_perdix,6,P09,-3.1302,35.5543
sp_Luscinia_megarhynchos,5,P10,-4.3927,33.001
sp_Perdix_perdix,6,P02,-3.3549,33.0531
sp_Bombus_terrestris,4,P06,-3.7254,34.8077
sp_Apis_mellifera,5,P07,-3.0276,34.0944
sp_Falco_tinnunculus,7,P09,-2.1391,34.1594
sp_Perdix_perdix,5,P03,-2.2803,34.6933
sp_Lepus_europaeus,3,P10,-3.1544,33.5753
sp_Carabus_auratus,4,P03,-1.7992,33.6353
sp_Perdix_perdix,6,P07,-3.5611,34.4538
sp_Vulpes_vulpes,4,P04,-1.4648,35.2628
sp_Alauda_arvensis,3,P08,-5.1792,34.8585
sp_Ciconia_ciconia,5,P07,-1.204,33.8921
sp_Ciconia_ciconia,5,P05,-2.5539,34.291
sp_Apis_mellifera,6,P07,-3.7897,33.512
sp_Papilio_machaon,4,P03,-4.6128,33.2239
sp_Gryllus_campestris,8,P02,-3.3437,35.3481
sp_Alauda_arvensis,5,P06,-4.6245,33.7962
sp_Bombus_terrestris,6,P02,-4.7515,33.5333
sp_Papilio_machaon,3,P03,-2.7219,35.0749
sp_Miliaria_calandra,10,P06,-3.1461,34.8542
sp_Lepus_europaeus,3,P05,-2.4846,34.8996
sp_Papilio_machaon,2,P08,-1.3168,33.6867
sp_Apis_mellifera,4,P09,-3.1048,33.6979
sp_Perdix_perdix,7,P03,-2.8858,33.6624
sp_Ciconia_ciconia,2,P10,-5.0967,33.5213
sp_Bombus_terrestris,3,P03,-2.2706,34.9672
sp_Lepus_europaeus,9,P03,-3.7004,35.544
sp_Alauda_arvensis,8,P06,-1.1047,35.173
sp_Buteo_buteo,4,P01,-1.7957,35.3763
sp_Bombus_terrestris,2,P07,-3.1488,34.2144
sp_Alauda_arvensis,7,P01,-4.9455,34.9622
sp_Papilio_machaon,5,P05,-1.6326,34.0627
sp_Luscinia_megarhynchos,6,P10,-1.901,34.5765
sp_Gryllus_campestris,4,P08,-4.6694,34.4449
sp_Perdix_perdix,4,P04,-4.1712,33.5307
sp_Ciconia_ciconia,6,P05,-1.9297,34.1612
sp_Carabus_auratus,6,P04,-4.6665,35.8915
sp_Apis_mellifera,5,P04,-1.3701,33.7457
sp_Apis_mellifera,7,P08,-3.5896,33.4014
sp_Perdix_perdix,4,P02,-5.1083,34.2557
sp_Papilio_machaon,5,P01,-1.8291,35.371
sp_Luscinia_megarhynchos,3,P03,-3.8192,34.7464
sp_Luscinia_megarhynchos,8,P09,-3.1308,35.0429
sp_Ciconia_ciconia,11,P04,-4.9946,33.5691
sp_Alauda_arvensis,5,P10,-5.4884,34.8568
sp_Alauda_arvensis,5,P05,-2.6291,33.9705
sp_Vulpes_vulpes,4,P02,-3.1817,35.5029
sp_Luscinia_megarhynchos,6,P04,-2.8291,34.8879
sp_Luscinia_megarhynchos,6,P02,-1.9282,33.5966
sp_Carabus_auratus,6,P02,-2.5903,33.1939
